4495,igisibo,lent
3583,igisiga,"large bird"
4670,igisigisigi,left-overs
3584,igisigo,poem
3588,igisimba,"wild animal"
4752,igisindu,"termite mound"
5749,igisirikare,military
3607,igisobanuro,explanation
3612,igisoga,fowl
3619,igisokozo,comb
3633,igisozi,mountain
5176,igisukika,liquid
3665,igitabo,book
3670,igitaka,"piece of earth"
3678,igitambaro,cloth
3680,igitambo,offering
3685,igitanda,bed
3689,igitangaza,miracle
3699,igitansi,receipt
5278,igitaramo,event
3707,igitare,anklet
3709,igitare,white
3712,igitari,hectare
3731,igitego,goal
3742,igitekerezo,idea
5166,igitemba,liquid
4628,igitera,"olive baboon"
4363,igiteranyo,total
3756,igitereko,"lamp stand"
3759,igitero,"gang attack"
3762,igiteteyi,dress
3765,igiti,tree
4501,igitiyo,spade
4323,igitogotogo,"wooden bike"
3780,igitoke,"banana stalk"
3782,igitoki,plantain
3786,igitondo,morning
3790,igitonyanga,"drop of water"
5686,igitovu,"mountain thistle"
4948,igitsike,eyebrow
3804,igitsina,gender
3805,igitsinagabo,"male gender"
3806,igitsinagore,"female gender"
3811,igitsinsino,heel
3812,igituba,vagina
3816,igituma,cause
3831,igitunguru,onion
3835,igiturage,"rural area"
3840,igituro,tomb
3845,igituti,pulpit
3847,igitutsi,slanderer
3850,igituza,"chest of body"
4438,igitwenge,laughter
2457,igorofa,storey
2466,igufwa,bone
2471,igunira,sack
2473,iguriro,"market place"
2494,ihahamuka,trauma
2496,ihambwa,"burial ceremony"
2497,ihame,fact
2501,ihamya,authentication
2533,ihembe,horn
2542,ihene,goat
5353,iherena,"ear ring"
2549,iherezo,end
2570,ihirwe,luck
2573,ihitamo,setting
4450,ihomvu,delirium
2583,ihoni,horn
2589,ihoza,rent
2596,ihuguriro,workshop
2598,ihuku,cat
4924,ihumure,quiet
2605,ihundo,"ear of grain"
2610,ihuriro,"meeting place"
4381,ihurizo,riddle
2691,ijage,jug
2693,ijambo,word
2695,ijambobanga,password
2696,ijana,"hundred (100)"
4744,ijanja,paw
2699,ijeri,"cricket (insect)"
2700,ijerikani,"jerry can"
5373,ijigo,"jaw bone"
2706,ijipo,skirt
2707,ijisho,eye
2709,ijoro,night
2710,ijosi,"front of neck"
2717,ijuru,heaven
2730,ikabutura,shorts
2736,ikamba,crown
2743,ikamiyo,lorry
2757,ikanya,fork
2758,ikanzu,dress
2759,ikara,charcoal
